Transcript,sequence.length,best.hit.to.nr,hit.length,E.value,Bit.score,GO.Biological.Process,GO.Cellular.Component,GO.Molecular.Function,Enzyme,Domain,annotation.type,pval,adj.r.squared,padj,Apicea.type,Acarolinensis.type
15469|*|comp148240_c0_seq1,897,gi|332020846|gb|EGI61244.1| Protein cueball ,46,1.11E-12,82.640351,-,GO:0016021 integral to membrane,-,-,-,GO only,1.46E-07,0.872528841,1.40954E-05,Low,Low
15492|*|comp147132_c2_seq2,895,gi|322783278|gb|EFZ10862.1| hypothetical protein SINV_11292 ,26,6.38E-10,73.666788,-,-,-,-,-,,3.13E-10,0.941438757,9.79E-08,Bimodal,NotResp
15500|*|comp141890_c0_seq1,895,gi|322798796|gb|EFZ20348.1| hypothetical protein SINV_10241 ,140,4.77E-19,103.279546,-,-,GO:0003677 DNA binding,-,-,GO only,9.84E-08,0.878783426,1.03228E-05,Low,High
15514|*|Contig6487,894,gi|491427301|ref|WP_005285096.1| fadF ,277,3.65E-26,126.162133,GO:0016192 vesicle-mediated transport | GO:2000601 positive regulation of Arp2/3 complex-mediated actin nucleation | GO:0015031 protein transport | GO:0007165 signal transduction,GO:0012507 ER to Golgi transport vesicle membrane | GO:0005789 endoplasmic reticulum membrane | GO:0009279 cell outer membrane | GO:0005886 plasma membrane,GO:0005509 calcium ion binding | GO:0004872 receptor activity | GO:0016740 transferase activity | GO:0003779 actin binding | GO:0005215 transporter activity,-,pfam07628 DUF1589,GO & Domain,1.44E-07,0.872741269,1.3953E-05,Low,Low
15542|*|Contig323,892,-,-,-,-,-,-,-,-,-,,1.06216E-05,0.779248304,0.000427606,Low,Low
15558|*|comp150869_c1_seq2,892,-,-,-,-,-,-,-,-,-,,1.98E-07,0.867489419,1.7883E-05,Bimodal,Intermediate
155|*|comp150024_c0_seq1,6483,gi|383855460|ref|XP_003703229.1| PREDICTED: uncharacterized protein LOC100883438 ,540,9.28E-292,992.110977,-,-,GO:0046983 protein dimerization activity,-,pfam00010 HLH,GO & Domain,1.0233E-05,0.780308999,0.000415701,Low,Intermediate
15659|*|comp213931_c0_seq1,886,gi|322793694|gb|EFZ17118.1| hypothetical protein SINV_12674 ,156,2.09E-92,330.310694,-,GO:0019028 viral capsid,-,-,pfam03067 Chitin_bind_3,GO & Domain,6.64E-08,0.884692002,7.66E-06,Low,Intermediate
15673|*|comp148932_c2_seq4,886,-,-,-,-,-,-,-,-,-,,1.99E-07,0.867453028,1.78887E-05,Low,Low
15697|*|comp146819_c0_seq1,884,-,-,-,-,-,-,-,-,-,,9.37E-10,0.932742992,2.46E-07,Low,Intermediate
1569|*|Contig2470,3632,gi|350421123|ref|XP_003492740.1| PREDICTED: hypothetical protein LOC100743444 ,689,0,1555.202065,"GO:0006357 regulation of transcription from RNA polymerase II promoter | GO:0005975 carbohydrate metabolic process | GO:0040034 regulation of development, heterochronic | GO:0006030 chitin metabolic process",GO:0005576 extracellular region | GO:0005634 nucleus,"GO:0016810 hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds | GO:0046872 metal ion binding | GO:0000981 sequence-specific DNA binding RNA polymerase II transcription factor activity | GO:0008061 chitin binding",-,pfam01522 Polysacc_deac_1,GO & Domain,1.62E-06,0.826703316,9.34837E-05,Intermediate,Low
1571|*|comp144782_c0_seq1,3630,gi|322801000|gb|EFZ21781.1| hypothetical protein SINV_03761 ,350,1.29E-241,825.65138,GO:0000186 activation of MAPKK activity | GO:0007178 transmembrane receptor protein serine/threonine kinase signaling pathway | GO:0009069 serine family amino acid metabolic process,-,GO:0005524 ATP binding | GO:0004709 MAP kinase kinase kinase activity | GO:0004715 non-membrane spanning protein tyrosine kinase activity,2.7.11.1 ,pfam00069 Pkinase | pfam07714 Pkinase_Tyr,GO & Enzyme & Domain,8.28E-07,0.840969921,5.50472E-05,Low,Intermediate
15721|*|comp126580_c0_seq1,883,gi|489983601|ref|WP_003886672.1| Pyridoxamine 5''-phosphate oxidase ,82,0.0169,49.438168,-,-,-,-,-,,2.48E-08,0.898233097,3.39E-06,Low,Low
15748|*|comp93520_c0_seq1,882,gi|307194840|gb|EFN77022.1| Membralin ,42,1.60E-05,59.309087,-,-,-,-,-,,8.78E-13,0.972012577,7.42E-10,Low,Low
15767|*|Contig4164,881,-,-,-,-,-,-,-,-,-,,5.66E-07,0.848521681,4.05928E-05,Bimodal,Intermediate
1576|*|comp148019_c0_seq1,3628,gi|383852553|ref|XP_003701791.1| PREDICTED: moesin/ezrin/radixin homolog 1-like isoform 1 ,572,0,1278.81632,"GO:0007318 pole plasm protein localization | GO:0042048 olfactory behavior | GO:0045197 establishment or maintenance of epithelial cell apical/basal polarity | GO:0016336 establishment or maintenance of polarity of larval imaginal disc epithelium | GO:0032956 regulation of actin cytoskeleton organization | GO:0016057 regulation of membrane potential in photoreceptor cell | GO:0007368 determination of left/right symmetry | GO:0045433 male courtship behavior, veined wing generated song production | GO:0072499 photoreceptor cell axon guidance | GO:0045313 rhabdomere membrane biogenesis",GO:0035003 subapical complex | GO:0005884 actin filament | GO:0005819 spindle | GO:0045169 fusome | GO:0019898 extrinsic to membrane | GO:0005912 adherens junction | GO:0005634 nucleus | GO:0005938 cell cortex,"GO:0005546 phosphatidylinositol-4,5-bisphosphate binding | GO:0003779 actin binding",5.2.1.8 ,pfam00769 ERM | pfam00373 FERM_M | pfam09380 FERM_C | pfam13868 Trichoplein | pfam09379 FERM_N | pfam05672 MAP7 | pfam12474 PKK | pfam12072 DUF3552 | pfam00261 Tropomyosin | pfam05914 RIB43A | pfam03938 OmpH | pfam12718 Tropomyosin_1 | pfam13863 DUF4200 | pfam11559 ADIP | pfam04012 PspA_IM30 | pfam05667 DUF812 | pfam02050 FliJ | pfam02841 GBP_C | pfam13904 DUF4207 | pfam08598 Sds3 | pfam00038 Filament | pfam08614 ATG16 | pfam07926 TPR_MLP1_2 | pfam13870 DUF4201 | pfam10368 YkyA | pfam05103 DivIVA | pfam10481 Cenp-F_N | pfam07321 YscO | pfam08703 PLC-beta_C | pfam04156 IncA | pfam13851 GAS | pfam12795 MscS_porin | pfam09789 DUF2353 | pfam09311 Rab5-bind | pfam14265 DUF4355 | pfam05698 Trigger_C | pfam09756 DDRGK | pfam09744 Jnk-SapK_ap_N | pfam09728 Taxilin | pfam09805 Nop25 | pfam00529 HlyD | pfam01442 Apolipoprotein | pfam11932 DUF3450 | pfam03234 CDC37_N | pfam06705 SF-assemblin | pfam14073 Cep57_CLD | pfam05266 DUF724 | pfam10473 Cenp-F_leu_zip | pfam06391 MAT1 | pfam09304 Cortex-I_coil | pfam00992 Troponin | pfam09969 DUF2203 | pfam10187 Nefa_Nip30_N | pfam13949 ALIX_LYPXL_bnd | pfam05010 TACC | pfam02403 Seryl_tRNA_N | pfam10146 zf-C4H2 | pfam04576 Zein-binding | pfam09486 HrpB7 | pfam10669 Phage_Gp23 | pfam07106 TBPIP | pfam12325 TMF_TATA_bd | pfam10147 CR6_interact | pfam05279 Asp-B-Hydro_N | pfam12130 DUF3585 | pfam01920 Prefoldin_2 | pfam03763 Remorin_C | pfam12329 TMF_DNA_bd | pfam06818 Fez1 | pfam09727 CortBP2 | pfam01145 Band_7 | pfam09403 FadA | pfam06476 DUF1090 | pfam13864 Enkurin | pfam06428 Sec2p | pfam14197 Cep57_CLD_2 | pfam02970 TBCA | pfam09745 DUF2040 | pfam05276 SH3BP5 | pfam00430 ATP-synt_B | pfam04803 Cor1 | pfam05700 BCAS2 | pfam14303 NAM-associated,GO & Enzyme & Domain,6.46E-06,0.792968388,0.00028762,Low,Low
1577|*|Contig534,3627,gi|332020353|gb|EGI60775.1| Calnexin ,512,0,1143.764194,GO:0006457 protein folding | GO:0035335 peptidyl-tyrosine dephosphorylation | GO:0006570 tyrosine metabolic process,GO:0016020 membrane | GO:0005783 endoplasmic reticulum,GO:0004725 protein tyrosine phosphatase activity | GO:0005509 calcium ion binding | GO:0051082 unfolded protein binding,-,pfam00262 Calreticulin | pfam01363 FYVE,GO & Domain,5.63E-08,0.887092208,6.67E-06,Low,Low
15795|*|comp149819_c2_seq10,879,gi|307186948|gb|EFN72313.1| General transcription factor II-I repeat domain-containing protein 2B ,45,7.19E-16,92.959949,-,-,GO:0003676 nucleic acid binding | GO:0046983 protein dimerization activity,-,-,GO only,2.37E-10,0.943450191,7.70E-08,Low,Intermediate
15798|*|comp149947_c0_seq2,879,gi|307181089|gb|EFN68834.1| hypothetical protein EAG_07455 ,34,0.000377,54.822305,-,-,-,-,-,,4.57E-09,0.917860172,8.81E-07,Low,Low
157|*|Contig1868,6477,gi|322795006|gb|EFZ17862.1| hypothetical protein SINV_10300 ,707,0,1595.134421,GO:0001676 long-chain fatty acid metabolic process,-,GO:0004467 long-chain fatty acid-CoA ligase activity,6.2.1.3 ,pfam00501 AMP-binding,GO & Enzyme & Domain,6.71E-07,0.845193476,4.68181E-05,Intermediate,Intermediate
15823|*|comp128464_c0_seq1,878,gi|307166817|gb|EFN60761.1| Putative nuclease HARBI1 ,163,1.74E-88,317.299028,-,-,-,-,pfam13359 DDE_4 | pfam01609 DDE_Tnp_1 | pfam04827 Plant_tran,Domain only,5.52E-11,0.952920267,2.27E-08,Low,NotResp
15830|*|comp135817_c0_seq1,878,gi|332019765|gb|EGI60229.1| hypothetical protein G5I_11578 ,83,1.54E-22,114.4965,-,-,-,-,-,,2.00E-06,0.821931361,0.000110555,Low,Low
1587|*|comp148646_c0_seq1,3620,"gi|307173781|gb|EFN64568.1| Spectrin beta chain, brain 4 ",621,0,1227.66701,GO:0051764 actin crosslink formation | GO:0035335 peptidyl-tyrosine dephosphorylation | GO:0051017 actin filament bundle assembly | GO:0006570 tyrosine metabolic process,-,GO:0004725 protein tyrosine phosphatase activity | GO:0005543 phospholipid binding | GO:0003779 actin binding,-,pfam00169 PH,GO & Domain,1.02E-08,0.909125362,1.67E-06,Low,Low
15891|*|comp147899_c0_seq10,875,-,-,-,-,-,-,-,-,pfam05485 THAP,Domain only,2.17E-09,0.925232429,4.77E-07,Low,Intermediate
15942|*|comp126656_c0_seq1,873,-,-,-,-,-,-,-,-,-,,4.15E-06,0.804451554,0.000200716,Bimodal,Intermediate
15960|*|comp148359_c3_seq2,872,"gi|440899351|gb|ELR50663.1| hypothetical protein M91_01402, partial ",24,0.043,48.092133,-,-,-,-,-,,2.82E-06,0.813922774,0.000146389,Bimodal,High
16007|*|comp125525_c0_seq1,869,gi|323320800|gb|ADX36422.1| putative odorant binding protein precursor ,146,1.01E-67,254.035407,GO:0035176 social behavior,GO:0005615 extracellular space,GO:0005549 odorant binding,-,pfam01395 PBP_GOBP,GO & Domain,1.52E-06,0.828124083,8.86599E-05,Intermediate,Intermediate
16104|*|comp134076_c0_seq1,864,gi|332019197|gb|EGI59707.1| MAM domain-containing glycosylphosphatidylinositol anchor protein 1 ,143,8.72E-63,239.229028,GO:0006955 immune response | GO:0007165 signal transduction,GO:0016020 membrane,GO:0005044 scavenger receptor activity | GO:0030247 polysaccharide binding,-,-,GO only,3.49E-07,0.857584075,2.77784E-05,Low,Intermediate
16107|*|Contig3010,864,gi|444392873|gb|AGE09182.1| nonstructural protein 1 ,230,2.80E-152,529.075118,-,-,-,-,pfam00600 Flu_NS1 | pfam00601 Flu_NS2,Domain only,5.92E-06,0.795284946,0.000268329,High,Low
16134|*|comp138568_c0_seq1,863,gi|332025800|gb|EGI65957.1| Zinc finger matrin-type protein 5 ,166,1.05E-104,371.140407,GO:0008380 RNA splicing | GO:0006397 mRNA processing,GO:0005681 spliceosomal complex,GO:0003676 nucleic acid binding | GO:0008270 zinc ion binding,-,pfam12171 zf-C2H2_jaz | pfam06220 zf-U1,GO & Domain,3.65E-07,0.856780093,2.89145E-05,Low,Intermediate
16141|*|comp150230_c2_seq1,862,-,-,-,-,-,-,-,-,-,,9.99E-06,0.780997038,0.000407928,Low,Low
16146|*|comp142653_c0_seq1,862,-,-,-,-,-,-,-,-,pfam10325 7TM_GPCR_Srz | pfam14093 DUF4271 | pfam07695 7TMR-DISM_7TM,Domain only,6.41E-07,0.846090012,4.50586E-05,Low,Bimodal
16161|*|comp150490_c0_seq3,861,-,-,-,-,-,-,-,-,-,,9.78E-08,0.87887914,1.02809E-05,Low,Intermediate
16174|*|comp149851_c0_seq2,860,-,-,-,-,-,-,-,-,-,,3.40E-07,0.858034294,2.73191E-05,Low,High
1620|*|comp150071_c4_seq1,3589,gi|322801014|gb|EFZ21795.1| hypothetical protein SINV_09590 ,330,2.01E-212,728.736898,-,GO:0016020 membrane,-,-,pfam03388 Lectin_leg-like,GO & Domain,1.45E-06,0.829112328,8.57801E-05,Low,Low
16210|*|Contig3127,859,-,-,-,-,-,-,-,-,-,,8.71E-08,0.880655241,9.40E-06,High,Low
16230|*|comp150693_c1_seq4,858,-,-,-,-,-,-,-,-,-,,1.06E-07,0.877604357,1.09635E-05,Low,Intermediate
16252|*|comp144987_c1_seq1,857,-,-,-,-,-,-,-,-,-,,1.64E-07,0.870633626,1.53913E-05,Low,Low
1626|*|Contig2313,3584,gi|332025247|gb|EGI65421.1| Insulin-like growth factor 2 mRNA-binding protein 1 ,552,0,1221.385515,-,-,GO:0000166 nucleotide binding | GO:0003723 RNA binding,-,pfam00013 KH_1 | pfam14259 RRM_6 | pfam13014 KH_3 | pfam00076 RRM_1 | pfam13893 RRM_5 | pfam07650 KH_2,GO & Domain,1.02E-06,0.836575142,6.50332E-05,Intermediate,Intermediate
16307|*|comp139316_c0_seq1,853,gi|332024994|gb|EGI65181.1| Serologically defined colon cancer antigen 8-like protein ,113,1.05E-60,232.947534,-,-,-,-,-,,2.60E-07,0.862805866,2.21244E-05,Intermediate,Bimodal
1634|*|comp148912_c0_seq1,3579,gi|332029583|gb|EGI69472.1| Pancreas transcription factor 1 subunit alpha ,246,2.47E-161,559.136555,GO:0048384 retinoic acid receptor signaling pathway | GO:0009888 tissue development | GO:0045944 positive regulation of transcription from RNA polymerase II promoter | GO:0060042 retina morphogenesis in camera-type eye | GO:0031016 pancreas development | GO:0030902 hindbrain development | GO:0048663 neuron fate commitment | GO:0009790 embryo development,GO:0005667 transcription factor complex,GO:0001077 RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity involved in positive regulation of transcription | GO:0043565 sequence-specific DNA binding | GO:0046983 protein dimerization activity,-,pfam00010 HLH,GO & Domain,9.08E-07,0.839084525,5.91571E-05,High,High
1637|*|Contig2653,3574,gi|307180236|gb|EFN68269.1| Helicase domino ,1185,0,2332.761312,-,GO:0000785 chromatin,GO:0005524 ATP binding | GO:0004386 helicase activity | GO:0003677 DNA binding | GO:0003682 chromatin binding | GO:0016740 transferase activity,3.6.4.12 ,pfam00271 Helicase_C,GO & Enzyme & Domain,7.67E-07,0.84251338,5.21E-05,Intermediate,Intermediate
16395|*|Contig634,849,gi|307170812|gb|EFN62928.1| Neuroblastoma-amplified gene protein ,111,3.51E-58,225.320005,-,-,"GO:0016772 transferase activity, transferring phosphorus-containing groups",-,-,GO only,1.15381E-05,0.776873549,0.000453318,High,Low
16423|*|comp145342_c0_seq1,848,gi|494813696|ref|WP_007549104.1| ankyrin 3 ,243,2.82E-132,462.670751,GO:0009560 embryo sac egg cell differentiation | GO:0051510 regulation of unidimensional cell growth | GO:0055114 oxidation-reduction process | GO:0034976 response to endoplasmic reticulum stress | GO:0006278 RNA-dependent DNA replication | GO:0006457 protein folding | GO:0000741 karyogamy | GO:0009116 nucleoside metabolic process | GO:0009408 response to heat | GO:0016310 phosphorylation | GO:0007165 signal transduction | GO:0009644 response to high light intensity | GO:0042542 response to hydrogen peroxide,-,GO:0003723 RNA binding | GO:0003964 RNA-directed DNA polymerase activity | GO:0016301 kinase activity | GO:0032440 2-alkenal reductase [NAD(P)] activity,-,pfam12796 Ank_2 | pfam13637 Ank_4 | pfam00023 Ank | pfam13857 Ank_5 | pfam13606 Ank_3,GO & Domain,2.82E-06,0.813927434,0.000146389,Low,High
1646|*|Contig4877,3571,gi|332016256|gb|EGI57169.1| hypothetical protein G5I_14639 ,108,1.74E-59,231.6015,-,-,-,-,-,,2.20E-06,0.819808984,0.000119141,Low,Low
16479|*|comp149961_c0_seq6,845,gi|21430916|gb|AAM51136.1| SD26211p ,66,1.04E-12,82.640351,GO:0015074 DNA integration,-,GO:0003676 nucleic acid binding | GO:0008270 zinc ion binding,-,-,GO only,5.07E-06,0.799332578,0.000236917,High,Low
16488|*|comp140884_c0_seq4,844,-,-,-,-,-,-,-,-,pfam10545 MADF_DNA_bdg,Domain only,1.25E-15,0.987687293,3.00E-12,Bimodal,Intermediate
164|*|comp149537_c0_seq21,6445,gi|307177326|gb|EFN66499.1| Niemann-Pick C1 protein ,635,0,1340.285227,GO:0030301 cholesterol transport | GO:0007165 signal transduction,GO:0016021 integral to membrane,GO:0008158 hedgehog receptor activity,-,pfam12349 Sterol-sensing,GO & Domain,1.54E-07,0.871725501,1.46191E-05,Low,Low
16530|*|comp149899_c2_seq3,843,-,-,-,-,-,-,-,-,-,,6.36E-07,0.846236913,4.47874E-05,Low,Intermediate
16545|*|comp138500_c0_seq2,842,gi|332018405|gb|EGI58999.1| hypothetical protein G5I_12854 ,90,1.07E-36,159.364316,-,-,-,-,-,,7.66E-10,0.93443041,2.06E-07,Low,Intermediate
1654|*|comp146542_c0_seq2,3566,gi|332020976|gb|EGI61369.1| Putative cytosolic Fe-S cluster assembly factor ,483,2.94000000137e-315,1070.180976,GO:0016226 iron-sulfur cluster assembly,-,"GO:0046872 metal ion binding | GO:0051539 4 iron, 4 sulfur cluster binding",3.4.19.12 ,pfam02906 Fe_hyd_lg_C | pfam02099 Josephin | pfam02256 Fe_hyd_SSU,GO & Enzyme & Domain,4.59E-10,0.93852969,1.36E-07,Low,Intermediate
1655|*|Contig5773,3566,gi|322790307|gb|EFZ15306.1| hypothetical protein SINV_80805 ,538,0,1095.755631,GO:0000920 cytokinetic cell separation | GO:0006508 proteolysis | GO:0006184 GTP catabolic process | GO:0000281 cytokinesis after mitosis,GO:0019898 extrinsic to membrane | GO:0043231 intracellular membrane-bounded organelle | GO:0030496 midbody,GO:0008233 peptidase activity | GO:0003924 GTPase activity | GO:0005525 GTP binding,-,pfam04212 MIT,GO & Domain,1.27E-08,0.906498491,1.99E-06,Intermediate,Intermediate
1657|*|Contig5562,3566,gi|332027967|gb|EGI68018.1| Gastrula zinc finger protein 5-1 ,75,4.38E-32,147.250006,-,-,GO:0046872 metal ion binding,-,-,GO only,7.93E-07,0.841842657,5.33435E-05,Bimodal,Bimodal
1660|*|Contig2859,3564,gi|332018698|gb|EGI59270.1| Protein 60A ,420,5.35E-260,886.67161,GO:0051216 cartilage development | GO:0040007 growth | GO:0030154 cell differentiation | GO:0001503 ossification | GO:0007165 signal transduction | GO:0008283 cell proliferation,GO:0005615 extracellular space,GO:0008083 growth factor activity | GO:0005125 cytokine activity,-,pfam00019 TGF_beta | pfam00688 TGFb_propeptide,GO & Domain,3.44E-06,0.80909391,0.000172385,Intermediate,Intermediate
16655|*|comp140562_c0_seq1,836,-,-,-,-,-,-,-,-,-,,4.08E-08,0.891602386,5.15E-06,Low,Intermediate
16734|*|comp141794_c0_seq2,833,-,-,-,-,-,-,-,-,pfam10523 BEN,Domain only,3.94E-06,0.805720453,0.00019214,Intermediate,NotResp
16735|*|comp147259_c1_seq4,833,gi|322800400|gb|EFZ21404.1| hypothetical protein SINV_07518 ,134,4.14E-80,290.827016,GO:0006446 regulation of translational initiation,GO:0005840 ribosome,GO:0000166 nucleotide binding | GO:0003743 translation initiation factor activity,-,-,GO only,1.23E-06,0.832773377,7.48271E-05,Low,Low
1673|*|comp150064_c0_seq1,3553,gi|332023843|gb|EGI64067.1| hypothetical protein G5I_07649 ,305,9.04E-184,633.617129,-,GO:0016459 myosin complex,GO:0046872 metal ion binding | GO:0005524 ATP binding | GO:0003774 motor activity,-,-,GO only,1.21E-06,0.833118929,7.37199E-05,Intermediate,Intermediate
16745|*|comp149185_c1_seq1,832,-,-,-,-,-,-,-,-,-,,9.11E-07,0.839011041,5.92612E-05,High,Low
16750|*|comp150317_c0_seq16,832,-,-,-,-,-,-,-,-,-,,4.35E-06,0.803231908,0.0002083,Low,Low
16753|*|comp124409_c0_seq1,832,-,-,-,-,-,-,-,-,-,,7.08E-08,0.883762078,8.00E-06,Intermediate,Bimodal
16755|*|comp150641_c1_seq1,832,-,-,-,-,-,-,-,-,-,,1.43E-07,0.872833033,1.39279E-05,Low,Intermediate
16762|*|comp150736_c1_seq7,832,-,-,-,-,-,-,-,-,-,,3.59E-14,0.981257098,5.58E-11,Low,Intermediate
16796|*|comp91101_c0_seq1,830,gi|322793454|gb|EFZ17007.1| hypothetical protein SINV_09195 ,88,3.74E-30,138.725121,-,-,-,-,-,,1.99E-07,0.867426985,1.78999E-05,NotResp,Low
16830|*|Contig5484,828,-,-,-,-,-,-,-,-,-,,9.86E-08,0.87876182,1.03262E-05,High,Low
16841|*|comp149107_c1_seq10,828,-,-,-,-,-,-,-,-,-,,4.04E-06,0.805145014,0.00019612,High,Low
16847|*|comp146378_c1_seq2,827,-,-,-,-,-,-,-,-,-,,4.43E-07,0.85320361,3.34832E-05,Low,Intermediate
16857|*|comp150399_c1_seq1,827,-,-,-,-,-,-,-,-,-,,7.19E-08,0.883532952,8.12E-06,Low,Low
16860|*|comp149107_c0_seq3,827,gi|189238218|ref|XP_970252.2| PREDICTED: similar to formin 3 CG33556-PB ,194,2.62E-29,136.033052,"GO:0006355 regulation of transcription, DNA-dependent | GO:0016043 cellular component organization | GO:0015074 DNA integration",GO:0005739 mitochondrion | GO:0005634 nucleus,GO:0008270 zinc ion binding | GO:0003677 DNA binding | GO:0003779 actin binding,-,pfam14227 UBN2_2 | pfam14223 UBN2 | pfam13961 DUF4219,GO & Domain,8.48E-08,0.881060763,9.21E-06,Bimodal,Intermediate
168|*|Contig6031,6426,gi|332028762|gb|EGI68793.1| Ets DNA-binding protein pokkuri ,476,0,1093.512241,"GO:0006355 regulation of transcription, DNA-dependent",GO:0005634 nucleus | GO:0005667 transcription factor complex,GO:0003700 sequence-specific DNA binding transcription factor activity | GO:0043565 sequence-specific DNA binding,-,pfam00067 p450 | pfam00178 Ets | pfam02198 SAM_PNT,GO & Domain,9.64E-06,0.782010656,0.000397014,Low,Low
1692|*|comp143140_c0_seq1,3537,gi|307189982|gb|EFN74218.1| Rab GTPase-activating protein 1 ,227,2.81E-142,495.872934,GO:0032851 positive regulation of Rab GTPase activity,GO:0005622 intracellular,GO:0005097 Rab GTPase activator activity,-,pfam00769 ERM | pfam09403 FadA | pfam13863 DUF4200 | pfam11559 ADIP,GO & Domain,4.97E-06,0.799868373,0.000232715,Low,Low
16949|*|comp148508_c2_seq3,822,-,-,-,-,-,-,-,-,-,,4.56E-06,0.802085604,0.000215901,High,Low
16982|*|comp140049_c2_seq1,821,-,-,-,-,-,-,-,-,-,,3.73E-08,0.892820243,4.77E-06,High,Low
17001|*|comp146720_c0_seq1,820,-,-,-,-,-,-,-,-,-,,1.63E-06,0.826539837,9.39526E-05,Low,Low
1700|*|comp146069_c0_seq5,3523,gi|322782666|gb|EFZ10529.1| hypothetical protein SINV_07194 ,494,4.37e-311,1056.271953,GO:0055085 transmembrane transport,GO:0016021 integral to membrane,GO:0003677 DNA binding | GO:0022857 transmembrane transporter activity,-,pfam00083 Sugar_tr | pfam07690 MFS_1,GO & Domain,5.52E-06,0.797151204,0.000254149,Low,Low
1701|*|comp140771_c0_seq1,3522,gi|307179174|gb|EFN67612.1| WD repeat-containing protein 26 ,410,1.73E-281,958.011437,GO:0006810 transport | GO:0016573 histone acetylation | GO:0042967 acyl-carrier-protein biosynthetic process,GO:0016021 integral to membrane | GO:0000123 histone acetyltransferase complex,GO:0004402 histone acetyltransferase activity,-,pfam00400 WD40,GO & Domain,6.46E-09,0.914182017,1.17E-06,Low,Low
17121|*|Contig3077,814,gi|332029692|gb|EGI69571.1| G-protein coupled receptor Mth2 ,27,5.25E-09,70.526041,-,-,-,-,-,,4.49E-07,0.852931494,3.38657E-05,Low,Low
17197|*|comp132766_c0_seq1,811,gi|82702056|ref|YP_411622.1| PA-phosphatase-like phosphoesterase ,96,4.88E-29,135.135696,GO:0055114 oxidation-reduction process | GO:0006804 peroxidase reaction | GO:0006979 response to oxidative stress,GO:0016020 membrane,GO:0004601 peroxidase activity | GO:0005509 calcium ion binding,-,pfam04151 PPC,GO & Domain,1.12113E-05,0.777701014,0.000443319,High,Bimodal
